"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SR_02_RLTD_ORG_EIN","SR_02_RLTD_ORG_PRIMARY_ACT","SR_02_RLTD_ORG_DMCL_STATE","SR_02_RLTD_ORG_EXEMPT_CODE","SR_02_RLTD_ORG_PCSTAT","SR_02_RLTD_ORG_CTRL_NA","SR_02_RLTD_ORG_CTRL_512_X"
"201341349349305414","742073654","INSIGHTS-EL PASO SCIENCE CENTER DBA","2011","990","https://s3.amazonaws.com/irs-form-990/201341349349305414_public.xml","201775204","SUPPORTING ORGANIZATION FOR INSIGHTS EL PASO SCIENCE CENTER","NM","501C","TYPE 1 SUPPORTING","N/A","false"
"201940459349301359","942639021","SHARPSTEEN MUSEUM ASSOCIATION","2017","990","https://s3.amazonaws.com/irs-form-990/201940459349301359_public.xml","911772712","CHARITABLE SUPPORTING ORGANIZATION TO RAISE FUNDS FOR LONG-TERM SUPPORT.","CA","501(C)(3)","LINE 12B, II",NA,"0"
"202001959349303640","954860162","THE VINE STREET ARCHIVE FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202001959349303640_public.xml","950473280","MEMBERSHIP","CA","501(C)(6)","N/A",NA,"false"
"202001959349303640","954860162","THE VINE STREET ARCHIVE FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202001959349303640_public.xml","952243698","CHARITABLE","CA","501(C)(3)","7",NA,"false"
"202001959349303640","954860162","THE VINE STREET ARCHIVE FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202001959349303640_public.xml","204366551","FILM LIBRARY","CA","501(C)(3)","12-I",NA,"false"
"202001959349303640","954860162","THE VINE STREET ARCHIVE FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202001959349303640_public.xml","202605026","MUSEUM","CA","501(C)(3)","12-I",NA,"false"
"201410739349300906","042104327","THE INSTITUTE OF CONTEMPORARY ART INC","2012","990","https://s3.amazonaws.com/irs-form-990/201410739349300906_public.xml","043170164","REAL ESTATE HOLDING FOR ICA","MA","501(C)(2)",NA,"N/A","0"
"201733139349302623","150547367","THE FARMERS MUSEUM INC","2016","990","https://s3.amazonaws.com/irs-form-990/201733139349302623_public.xml","150539110","HISTORICAL EXHIBITIONS AND PROGRAMS","NY","501(C)(3)","LINE 7",NA,"0"
"201733139349302623","150547367","THE FARMERS MUSEUM INC","2016","990","https://s3.amazonaws.com/irs-form-990/201733139349302623_public.xml",NA,NA,NA,"501(C)(3)","LINE 12A, I",NA,"0"
"201921519349300937","951644606","NORTON SIMON MUSEUM OF ART AT PASADENA","2017","990","https://s3.amazonaws.com/irs-form-990/201921519349300937_public.xml","956038921","To develop public knowledge and interest in fine arts","CA","501(c)(3)","PF",NA,"0"
"201733409349300128","561178432","NORTH CAROLINA MUSUEM OF HISTORY","2016","990","https://s3.amazonaws.com/irs-form-990/201733409349300128_public.xml","200988951","GRANTS","NC","501C3","12A","N/A","false"
"201733409349300128","561178432","NORTH CAROLINA MUSUEM OF HISTORY","2016","990","https://s3.amazonaws.com/irs-form-990/201733409349300128_public.xml","566062189","MUSEUM","NC","501C3","6","N/A","false"
"201140609349300104","742032535","CORPUS CHRISTI MUSEUM OF SCIENCE AND","2009","990","https://s3.amazonaws.com/irs-form-990/201140609349300104_public.xml","237369035","SUPPORT AND ASSIST THE CORPUS CHRISTI MUSEUM OF SCIENCE AND HISTORY","TX","501(C)(3)","170(b)(1) (a)(vi)","N/A",NA
"201520489349301162","262205415","THE GILCREASE MUSEUM MANAGEMENT TRUST","2013","990","https://s3.amazonaws.com/irs-form-990/201520489349301162_public.xml","730579298","UNIVERSITY","OK","501(C)(3)","170(B) (1)(A)(II)",NA,"0"
"201131369349301423","221514241","THE MORRIS MUSEUM INC","2009","990","https://s3.amazonaws.com/irs-form-990/201131369349301423_public.xml","223087290","SUPPORT OF THE MORRIS MUSEUM","NJ","501(c)(3)","EXEMPT",NA,NA
"201812989349301401","320373094","DEADWOOD HISTORY INC","2017","990","https://s3.amazonaws.com/irs-form-990/201812989349301401_public.xml","460357103","MUSEUM","SD","501C3","7","N/A","false"
"201812989349301401","320373094","DEADWOOD HISTORY INC","2017","990","https://s3.amazonaws.com/irs-form-990/201812989349301401_public.xml","202270933","MUSEUM","SD","501C3","7","N/A","false"
"201741239349301234","311436217","National Underground Railroad Freedom","2015","990","https://s3.amazonaws.com/irs-form-990/201741239349301234_public.xml","311212634","Museum","OH","501(c)(3)","Line 9",NA,"0"
"201741239349301234","311436217","National Underground Railroad Freedom","2015","990","https://s3.amazonaws.com/irs-form-990/201741239349301234_public.xml","311040339","Facilitate acess to Cincinnati Arts for Diverse New Audiences","OH","501(c)(3)","Line 7",NA,"0"
"201741239349301234","311436217","National Underground Railroad Freedom","2015","990","https://s3.amazonaws.com/irs-form-990/201741239349301234_public.xml","275304295","supporting both CMC & NURFC Endowments","OH","501(c)(3)","Line 11a, I",NA,"0"
"201741239349301234","311436217","National Underground Railroad Freedom","2015","990","https://s3.amazonaws.com/irs-form-990/201741239349301234_public.xml","271448321","Education","OH","501(c)(3)","Line 7",NA,"0"
"201810389349300961","200146354","FRONTIER TEXAS INC","2016","990","https://s3.amazonaws.com/irs-form-990/201810389349300961_public.xml","756000440","CITY","TX","NA - GOVERNMENTAL EN",NA,NA,"0"
"201502299349300135","582225585","DELTA AIR TRANSPORT HERITAGE MUSEUM INC","2014","990","https://s3.amazonaws.com/irs-form-990/201502299349300135_public.xml","586073119","CHARITY","GA","501(C)(3)","PF",NA,"0"
"202033219349306813","270214011","AMERICAN MUSEUM IN BRITAIN","2019","990","https://s3.amazonaws.com/irs-form-990/202033219349306813_public.xml","136059784","CHARITABLE FUND RAISING","NY","501(C)(3)","LINE 7","N/A","0"
"201843179349304974","591934721","THE TAMPA MUSEUM OF ART INC","2017","990","https://s3.amazonaws.com/irs-form-990/201843179349304974_public.xml","311650423","MUSEUM FOUNDATION","FL","501(C)(3)","PF",NA,"0"
"201843179349304974","591934721","THE TAMPA MUSEUM OF ART INC","2017","990","https://s3.amazonaws.com/irs-form-990/201843179349304974_public.xml","465497748","ORGANIZATION TO ACCEPT FUNDS FROM NEW MARKET TAX CREDIT","FL","501(C)(3)","PF",NA,"0"
"201841349349306429","223201871","MUSEUM AT PORTLAND HEAD LIGHT","2016","990","https://s3.amazonaws.com/irs-form-990/201841349349306429_public.xml","016000100","TOWN","ME",NA,"LINE 6",NA,"0"
"201841349349306429","223201871","MUSEUM AT PORTLAND HEAD LIGHT","2016","990","https://s3.amazonaws.com/irs-form-990/201841349349306429_public.xml","226681420","ASSISTANCE TO POOR","ME","501(C)(3)","LINE 12A, I",NA,"0"
"201823199349311467","770379953","RANCHO CAMULOS MUSEUM","2017","990","https://s3.amazonaws.com/irs-form-990/201823199349311467_public.xml","271707594","RENT FREE LEASE","CA",NA,NA,"N/A","false"
"202040599349301424","020572695","SIOUX CITY LEWIS & CLARK INTERPRETIVE","2018","990","https://s3.amazonaws.com/irs-form-990/202040599349301424_public.xml","421349952","CHARITABLE ORG","IA","501(C)(4)",NA,NA,"0"
"202040599349301424","020572695","SIOUX CITY LEWIS & CLARK INTERPRETIVE","2018","990","https://s3.amazonaws.com/irs-form-990/202040599349301424_public.xml","020572681","ENDOWMENT FUND","IA","501(C)(3)","LINE 10",NA,"0"
"201543179349303974","391383497","MADISON CHILDREN'S MUSEUM INC","2014","990","https://s3.amazonaws.com/irs-form-990/201543179349303974_public.xml","431956290","SUPPORTING ORGANIZATION OF MADISON CHILDREN'S MUSEUM, INC.","WI","501(C)(3)","LINE 11A, I",NA,"1"
"201801699349300700","166056267","DELAWARE COUNTY HISTORICAL ASSOCIATION","2017","990","https://s3.amazonaws.com/irs-form-990/201801699349300700_public.xml","166505580","ENDOWMENT FUND","NY","501(c)3","PF",NA,"false"
"201903169349304010","650220781","JACK NICKLAUS MUSEUM INC","2018","990","https://s3.amazonaws.com/irs-form-990/201903169349304010_public.xml","316025986","EDUCATION","OH","501(C)(3)","LINE 5","N/A","0"
"201312269349300716","536001666","National Gallery of Art","2011","990","https://s3.amazonaws.com/irs-form-990/201312269349300716_public.xml","522178882","Use of artwork to promote the public's appreciation of modern art","MD","501(c)(3)","509(a)(3)","N/A","0"
"201312269349300716","536001666","National Gallery of Art","2011","990","https://s3.amazonaws.com/irs-form-990/201312269349300716_public.xml","311625097","Support of the National Gallery of Art","DC","501(c)(3)","509(a)(3)","N/A","0"
"201613219349300031","721136273","SCI-PORT DISCOVERY CENTER","2014","990","https://s3.amazonaws.com/irs-form-990/201613219349300031_public.xml","721499941","FINANCIAL SUPPORT OF SCI-PORT DISCOVERY CENTER","LA","501(C)(3)","PF","N/A","0"
