"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SR_05_TRANSAC_TYPE","SR_05_TRANSAC_METHOD_DETERMIN","SR_05_TRANSAC_AMT_INVOLVED"
"201940459349301359","942639021","SHARPSTEEN MUSEUM ASSOCIATION","2017","990","https://s3.amazonaws.com/irs-form-990/201940459349301359_public.xml","Q","PAID INVOICES, CONTRACTS",NA
"201733139349302623","150547367","THE FARMERS MUSEUM INC","2016","990","https://s3.amazonaws.com/irs-form-990/201733139349302623_public.xml","P","CASH BASIS","128150"
"201921519349300937","951644606","NORTON SIMON MUSEUM OF ART AT PASADENA","2017","990","https://s3.amazonaws.com/irs-form-990/201921519349300937_public.xml","O","Cash value","1956103"
"201733409349300128","561178432","NORTH CAROLINA MUSUEM OF HISTORY","2016","990","https://s3.amazonaws.com/irs-form-990/201733409349300128_public.xml","B","GRANT","174165"
"201520489349301162","262205415","THE GILCREASE MUSEUM MANAGEMENT TRUST","2013","990","https://s3.amazonaws.com/irs-form-990/201520489349301162_public.xml","L",NA,NA
"201520489349301162","262205415","THE GILCREASE MUSEUM MANAGEMENT TRUST","2013","990","https://s3.amazonaws.com/irs-form-990/201520489349301162_public.xml","M",NA,NA
"201520489349301162","262205415","THE GILCREASE MUSEUM MANAGEMENT TRUST","2013","990","https://s3.amazonaws.com/irs-form-990/201520489349301162_public.xml","R","TRANSFER","160000"
"201520489349301162","262205415","THE GILCREASE MUSEUM MANAGEMENT TRUST","2013","990","https://s3.amazonaws.com/irs-form-990/201520489349301162_public.xml","N",NA,NA
"201520489349301162","262205415","THE GILCREASE MUSEUM MANAGEMENT TRUST","2013","990","https://s3.amazonaws.com/irs-form-990/201520489349301162_public.xml","O",NA,NA
"201520489349301162","262205415","THE GILCREASE MUSEUM MANAGEMENT TRUST","2013","990","https://s3.amazonaws.com/irs-form-990/201520489349301162_public.xml","S","TRANSFERS","164014"
"201131369349301423","221514241","THE MORRIS MUSEUM INC","2009","990","https://s3.amazonaws.com/irs-form-990/201131369349301423_public.xml","N",NA,"137520"
"201131369349301423","221514241","THE MORRIS MUSEUM INC","2009","990","https://s3.amazonaws.com/irs-form-990/201131369349301423_public.xml","E",NA,"2326326"
"201131369349301423","221514241","THE MORRIS MUSEUM INC","2009","990","https://s3.amazonaws.com/irs-form-990/201131369349301423_public.xml","C",NA,"30666"
"201810389349300961","200146354","FRONTIER TEXAS INC","2016","990","https://s3.amazonaws.com/irs-form-990/201810389349300961_public.xml","C",NA,"437045"
"202033219349306813","270214011","AMERICAN MUSEUM IN BRITAIN","2019","990","https://s3.amazonaws.com/irs-form-990/202033219349306813_public.xml","C","CASH","77485"
"201843179349304974","591934721","THE TAMPA MUSEUM OF ART INC","2017","990","https://s3.amazonaws.com/irs-form-990/201843179349304974_public.xml","C","FMV","344099"
"201843179349304974","591934721","THE TAMPA MUSEUM OF ART INC","2017","990","https://s3.amazonaws.com/irs-form-990/201843179349304974_public.xml","I","FMV","10098218"
"201843179349304974","591934721","THE TAMPA MUSEUM OF ART INC","2017","990","https://s3.amazonaws.com/irs-form-990/201843179349304974_public.xml","S","FMV","726723"
"201843179349304974","591934721","THE TAMPA MUSEUM OF ART INC","2017","990","https://s3.amazonaws.com/irs-form-990/201843179349304974_public.xml","B","FMV","1000000"
"201843179349304974","591934721","THE TAMPA MUSEUM OF ART INC","2017","990","https://s3.amazonaws.com/irs-form-990/201843179349304974_public.xml","O","FMV","1006726"
"201843179349304974","591934721","THE TAMPA MUSEUM OF ART INC","2017","990","https://s3.amazonaws.com/irs-form-990/201843179349304974_public.xml","O","FMV","151055"
"201843179349304974","591934721","THE TAMPA MUSEUM OF ART INC","2017","990","https://s3.amazonaws.com/irs-form-990/201843179349304974_public.xml","R","FMV","63124"
"201841349349306429","223201871","MUSEUM AT PORTLAND HEAD LIGHT","2016","990","https://s3.amazonaws.com/irs-form-990/201841349349306429_public.xml","P","EXPENSES PAID THROUGH TOWN","166298"
"202040599349301424","020572695","SIOUX CITY LEWIS & CLARK INTERPRETIVE","2018","990","https://s3.amazonaws.com/irs-form-990/202040599349301424_public.xml","C","CASH","550000"
"202040599349301424","020572695","SIOUX CITY LEWIS & CLARK INTERPRETIVE","2018","990","https://s3.amazonaws.com/irs-form-990/202040599349301424_public.xml","N","FACILITY FOR MEETINGS",NA
"202040599349301424","020572695","SIOUX CITY LEWIS & CLARK INTERPRETIVE","2018","990","https://s3.amazonaws.com/irs-form-990/202040599349301424_public.xml","Q","CASH","3674"
"201543179349303974","391383497","MADISON CHILDREN'S MUSEUM INC","2014","990","https://s3.amazonaws.com/irs-form-990/201543179349303974_public.xml","C","FACE AMOUNT","3091839"
"201801699349300700","166056267","DELAWARE COUNTY HISTORICAL ASSOCIATION","2017","990","https://s3.amazonaws.com/irs-form-990/201801699349300700_public.xml","c","EARNINGS","21849"
"201613219349300031","721136273","SCI-PORT DISCOVERY CENTER","2014","990","https://s3.amazonaws.com/irs-form-990/201613219349300031_public.xml","C","ACCRUAL","120000"
