"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SF_03_FRGN_INDIV_GRANT_TYPE","SF_03_FRGN_INDIV_GRANT_REGION","SF_03_FRGN_INDIV_GRANT_NUM_INDIV","SF_03_FRGN_INDIV_GRANT_AMT","SF_03_FRGN_INDIV_GRANT_DISBMT","SF_03_FRGN_INDIV_GRANT_NC_DESC","SF_03_FRGN_INDIV_GRANT_NC_MOV","SF_03_FRGN_INDIV_GRANT_NC_AMT"
"202043189349302839","362167011","FIELD MUSEUM OF NATURAL HISTORY","2019","990","https://s3.amazonaws.com/irs-form-990/202043189349302839_public.xml","STIPEND FOR RESEARCH","SOUTH AMERICA","1","16000","CHECK",NA,NA,NA
"202043189349302839","362167011","FIELD MUSEUM OF NATURAL HISTORY","2019","990","https://s3.amazonaws.com/irs-form-990/202043189349302839_public.xml","STIPEND FOR RESEARCH","SUB SAHARAN AFRICA","1","12820","CHECK",NA,NA,NA
"202043189349302839","362167011","FIELD MUSEUM OF NATURAL HISTORY","2019","990","https://s3.amazonaws.com/irs-form-990/202043189349302839_public.xml","STIPEND FOR RESEARCH","NORTH AMERICA","1","29600","CHECK",NA,NA,NA
"201630909349300448","941156258","CALIFORNIA ACADEMY OF SCIENCES","2014","990","https://s3.amazonaws.com/irs-form-990/201630909349300448_public.xml","Assistance to students studying","Sub-Saharan Africa","5","5516","WIRE","N/A","N/A",NA
"201801349349307400","951643375","SAN DIEGO SOCIETY OF NATURAL HISTORY","2016","990","https://s3.amazonaws.com/irs-form-990/201801349349307400_public.xml","SCIENTIFIC RESEARCH","E. ASIA & PACIFIC","1","515","WIRES & CHEC",NA,"FMV",NA
"201801349349307400","951643375","SAN DIEGO SOCIETY OF NATURAL HISTORY","2016","990","https://s3.amazonaws.com/irs-form-990/201801349349307400_public.xml","SCIENTIFIC RESEARCH","NORTH AMERICA","1","1500","WIRES & CHEC",NA,"FMV",NA
"202003149349300310","540505959","Thomas Jefferson Foundation Inc","2019","990","https://s3.amazonaws.com/irs-form-990/202003149349300310_public.xml","Robert H. Smith Int'l Center for Jefferson Studies","Europe (Including Iceland and Greenland)","6","20193","CHECK",NA,NA,NA
"201210669349301381","131624086","METROPOLITAN MUSEUM OF ART","2010","990","https://s3.amazonaws.com/irs-form-990/201210669349301381_public.xml","THEODORE ROUSSEAU FELLOWSHIP","Europe/Iceland/Greenland","6","99468","CHECK","N/A","N/A","0"
"201211369349304251","951644589","Henry E Huntington Library and Art Gallery","2010","990","https://s3.amazonaws.com/irs-form-990/201211369349304251_public.xml","SUPPORT SCHOLARS USING THE LIBRARY'S COLLECTION","East Asia/Pacific","1","2500","check","NONE","NONE",NA
"201211369349304251","951644589","Henry E Huntington Library and Art Gallery","2010","990","https://s3.amazonaws.com/irs-form-990/201211369349304251_public.xml","SUPPORT SCHOLARS USING THE LIBRARY'S COLLECTION","Europe/Iceland/Greenland","26","92500","check","NONE","NONE",NA
"201211369349304251","951644589","Henry E Huntington Library and Art Gallery","2010","990","https://s3.amazonaws.com/irs-form-990/201211369349304251_public.xml","SUPPORT SCHOLARS USING THE LIBRARY'S COLLECTION","North America","5","65000","check","NONE","none",NA
"201340109349300014","133376265","MUSEUM OF JEWISH HERITAGE","2011","990","https://s3.amazonaws.com/irs-form-990/201340109349300014_public.xml","HONORARIUM FOR FASPE PROGRAM","Europe/Iceland/Greenland","1","5923","Wire",NA,"CASH",NA
