"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SR_04_RLTD_ORG_CORP_EIN","SR_04_RLTD_ORG_CORP_PRIMARY_ACT","SR_04_RLTD_ORG_CORP_DMCL_STATE","SR_04_RLTD_ORG_CORP_TYPE","SR_04_RLTD_ORG_CORP_TOT_INCOME","SR_04_RLTD_ORG_CORP_EOY_ASSETS","SR_04_RLTD_ORG_CORP_PCT_OWN","SR_04_RLTD_ORG_CORP_CTRL_512_X","SR_04_RLTD_ORG_CORP_NAME_L1","SR_04_RLTD_ORG_CORP_ADDR_L1","SR_04_RLTD_ORG_CORP_ADDR_CITY","SR_04_RLTD_ORG_CORP_ADDR_STATE","SR_04_RLTD_ORG_CORP_ADDR_ZIP","SR_04_RLTD_ORG_CORP_NAME_L1.1","SR_04_RLTD_ORG_CORP_CTRL_NA"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","570811262","TOURS & RENTALS","SC","C","1533","9788","1.00000","0","MIDDLETON OPERATING CORPORATION","4300 ASHLEY RIVER ROAD","CHARLESTON","SC","29414","MIDDLETON PLACE FOUNDATION",NA
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","570605970","MUSEUM SHOP & CATERING/RESTAURANT","SC","C","-318623","1971719","1.00000","0","MIDDLETON PLACE REGISTERED NATIONAL HISTORIC LANDMARK INC","4300 ASHLEY RIVER ROAD","CHARLESTON","SC","29414","MIDDLETON PLACE FOUNDATION",NA
"201232929349300218","042203829","LONGYEAR FOUNDATION","2011","990","https://s3.amazonaws.com/irs-form-990/201232929349300218_public.xml","046011948","TO PROVIDE ANNUAL AND OTHER DISTRIBUTIONS TO THE FOUNDATION","MA","T",NA,NA,NA,NA,"MARY BEECHER LONGYEAR TRUST","1650 MARKET STREET SUITE 1200","PHILADELPHIA","PA","19103",NA,"N/A"
"201910749349300121","941696494","THE EXPLORATORIUM","2017","990","https://s3.amazonaws.com/irs-form-990/201910749349300121_public.xml","273217686","HOLDING COMPANY","CA","C",NA,"127109344","1.00000","1","EXPLORATORIUM MASTER HOLDINGS INC","PIER 15/17","SAN FRANCISCO","CA","94111","THE EXPLORATORIUM",NA
"201513209349313541","742623524","MAYFIELD LIBRARY & MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201513209349313541_public.xml","134364178","OPERATE BINGO SESSIONS FOR VARIOUS NON-PROFIT ORGANIZATIONS","TX","C",NA,NA,NA,"0","HEIGHTS BINGO UNIT","PO BOX 578","KILLEEN","TX","76540",NA,NA
"201933189349306553","850437114","GEORGIA O'KEEFFE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/201933189349306553_public.xml","475622335","CONSERVATION PRODUCT DEVELOPMENT","DE","C",NA,NA,NA,"0","GOKM INNOVATIONS INC","217 JOHNSON STREET","SANTA FE","NM","87501","THE SUPPORTING ORGANIZATION FOR THE GEORGIA O'KEEFFE MUSEUM",NA
"201821359349304747","750808774","Dallas Museum of Art","2016","990","https://s3.amazonaws.com/irs-form-990/201821359349304747_public.xml","752246413","HOLDING COMPA","TX","C CORP",NA,"1000","1.00000","true","MUSEUM SERVICES CORPORATION","1717 N HARWOOD","DALLAS","TX","75201","DMA",NA
"201821359349304747","750808774","Dallas Museum of Art","2016","990","https://s3.amazonaws.com/irs-form-990/201821359349304747_public.xml","752246413","INACTIVE","TX","C CORP","0","0","1.00000","true","MUSEUM BEVERAGES INC","1717 N HARWOOD","DALLAS","TX","75201","DMA",NA
"201821359349304747","750808774","Dallas Museum of Art","2016","990","https://s3.amazonaws.com/irs-form-990/201821359349304747_public.xml","752251274","RETAIL","TX","C CORP","53964","263755","1.00000","true","ART-FACTS INC","1717 N HARWOOD","DALLAS","TX","75201","MUS SERV CORP",NA
"201821359349304747","750808774","Dallas Museum of Art","2016","990","https://s3.amazonaws.com/irs-form-990/201821359349304747_public.xml",NA,"INACTIVE","TX","ASSOCIATION","0","0","1.00000","true","DALLAS ART MUSEUM LEAGUE","1717 N HARWOOD","DALLAS","TX","75201","DMA",NA
